Aratta,Minquartia guianensis,0.83,
Araucaria,Araucaria angustifolia,0.49,
Aravaney,Tabebuia serratifolia,0.99,
Arawnig,Tabebuia serratifolia,0.99,
Arawnig-yek,Tabebuia serratifolia,0.99,
Arbe a Buerre,Caryocar villosum,0.76,
Arbol de Indias,Aleurites moluccana,0.14,
Arbol de Paternoster,Melia azedarach,0.51,
Arbol del Ajo,Cordia alliodora,0.51,
Arbol del Ddiablo,Hura crepitans,0.40,
ArborV itae,Thuja occidentalis,0.31,
Arborvitae,Thuja occidentalis,0.31,
Arborvitae,Thuja plicata,0.32,
Arbre au Diable,Hura crepitans,0.40,
Arbre de Paternoster,Melia azedarach,0.51,
Arbuti Tree,Arbutus menziesii,0.64,
Archangel Redwood,Pinus sylvestris,0.45,
Arco,Tabebuia serratifolia,0.99,
Arcwood,Tabebuia serratifolia,0.99,
Areeiro,Hura crepitans,0.40,
Arenillero,Hura crepitans,0.40,
Arenillo,Catostemma fragrans,0.66,
Arere,Triplochiton scleroxylon,0.32,
Arerillo,Hura crepitans,0.40,
Aricurana,Hieronyma alchorneoides,0.58,
Arizona Oak,Quercus alba,0.68,
Arizona Spruce,Picea engelmannii,0.35,
Arizona White Oak,Quercus alba,0.68,
Arjun,Terminalia arjuna,0.71,
Arkansas Oak,Quercus arkansana,0.53,
Arkansas Water Oak,Quercus arkansana,0.53,
Armaniuri,Anisoptera costata,0.52,
Aroeira do Campo,Astronium graveolens,0.89,
Aroeira do Campo,Astronium graveolens,0.80,
Aroeira Preta<,Astronium graveolens,0.89,
Aroeira Preta<,Astronium graveolens,0.80,
Aromilla,Terminalia amazonica,0.76,
Aroo,Casuarina equisetifolia,0.87,
Arowore,Tabebuia serratifolia,0.99,
Arra-ore,Tabebuia serratifolia,0.99,
Arrhonee,Tabebuia serratifolia,0.99,
Arrida,Campnosperma brevipetiolata,0.33,
Aru,Casuarina equisetifolia,0.87,
Aruain,Tabebuia serratifolia,0.99,
Aruas,Shorea negrosensis,0.59,
Arupag,Aglaia gigantea,0.54,
Arvore Copal,Hymenaea courbaril,0.83,
Asaka,Tieghemella heckelii,0.60,
Asam,Mangifera altissima,0.52,
Asam,Mangifera indica,0.53,
Asam Kuang,Pometia pinnata,0.60,
Asamfona,Aningeria altissima,0.42,
Asan,Populus ciliata,0.37,
Asang Bitum,Vitex cofassus,0.67,
Asapoko,Pouteria izabalensis,0.64,
Asas,Bridelia aubrevillei,0.59,
Ash,Fraxinus americana,0.60,
Ash,Fraxinus excelsior,0.58,14
Ash,Fraxinus nigra,0.49,
Ash,Fraxinus pennsylvanica,0.56,
Ashleaf Maple,Acer negundo,0.45,2
Asniakara,Hura crepitans,0.40,
Asomba,Anisoptera costata,0.52,
Asore,Lophira alata,0.94,
Aspe,Populus tremuloides,0.38,
Aspen,Populus tremuloides,0.38,
Assacu,Hura crepitans,0.40,
Assama,Turraeanthus africanus,0.51,
Assame-tsuge,Buxus sempervirens,0.83,
Assan,Musanga cecropioides,0.23,
Assang,Musanga cecropioides,0.23,
Assas,Bridelia aubrevillei,0.59,
Asseng,Musanga cecropioides,0.23,
Assia,Dacryodes le testui,0.56,
Asucar-juain,Hymenaea courbaril,0.83,
Ata ata,Diospyros mindanaensis,0.78,14
Atam,Pometia pinnata,0.60,
Atchiupon,Mitragyna ciliata,0.52,
Ateje,Cordia collococea,0.50,
Atereba,Eschweilera sagotiana,0.90,
Atha,Mesua ferrea,0.92,
Atiokouo,Beilschmiedia mannii,0.62,
Atiokwo,Beilschmiedia mannii,0.62,
Atlantic White Cedar,Chamaecyparis thyoides,0.32,1
Atoreb,Cedrela odorata,0.39,
